,human_baseline_summaries,original_model_summaries,peft_model_summaries
739,Tims is talking about his greener life. He now rides his bike to school and recommends teachers to send electrical paper rather than paper ones. And he thinks the school shouldn't have machines with bottled drinks.,Tim is going to talk about his project and how to lead a greener life.,Tim tells #Person1# he chose the subject of greener life because he decided to see what he could do in his own life rather than just act helpless. He finds there were lots of people at his age trying to be green. He thinks he should cut down the school paper and send in most of his work electronically. He also thinks the school cafeteria should be green.
740,Tim chooses a green-life-related project because he wants to see what he could do in his own life. He's started being greener with himself and influences others.,Tim is going to talk about his project and how to lead a greener life.,Tim tells #Person1# he chose the subject of greener life because he decided to see what he could do in his own life rather than just act helpless. He finds there were lots of people at his age trying to be green. He thinks he should cut down the school paper and send in most of his work electronically. He also thinks the school cafeteria should be green.
741,#Person1# complains to Tony that Christmas has made #Person1# busier.,"#Person1#: Hi, Tony.",Tony tells Tony that he has to be at work by 8:00 AM because he works in the toy department at the shopping center. Tony tells Tony that he overslept and was 10 minutes late yesterday. Tony thinks selling gifts for kids is unpleasant before Christmas.
742,"#Person1# works as a toy salesperson and feels so tired recently because Christmas is coming, and everyone's shopping for presents.","#Person1#: Hi, Tony.",Tony tells Tony that he has to be at work by 8:00 AM because he works in the toy department at the shopping center. Tony tells Tony that he overslept and was 10 minutes late yesterday. Tony thinks selling gifts for kids is unpleasant before Christmas.
743,#Person1# thinks selling gifts for kids is such an unpleasant job before Christmas.,"#Person1#: Hi, Tony.",Tony tells Tony that he has to be at work by 8:00 AM because he works in the toy department at the shopping center. Tony tells Tony that he overslept and was 10 minutes late yesterday. Tony thinks selling gifts for kids is unpleasant before Christmas.
744,"Bill made a cake for Sue's birthday, but Sue is on a diet to avoid allergy. Bill offers to buy her something healthy to eat, but Sue is enjoying her party. So they will go afterwards.",The party is over.,Sue wants Bill to have some cake for her birthday. Bill tells her she can start her diet tomorrow and she'll get some hot soup from the restaurant across the street. Sue agrees and Bill will call the restaurant to tell her they'll be there in a few hours.
745,Sue doesn't eat cakes and sandwiches at her birthday party to avoid being allergic. Bill is willing to order her some hot soup to make her feel better. They decide to go to the restaurant later.,The party is over.,Sue wants Bill to have some cake for her birthday. Bill tells her she can start her diet tomorrow and she'll get some hot soup from the restaurant across the street. Sue agrees and Bill will call the restaurant to tell her they'll be there in a few hours.
746,Bill made a cake for Sue's birthday but Sue can't eat it because she's on a diet to avoid being allergic. Bill and Sue will go to the restaurant to have some soup after the party.,The party is over.,Sue wants Bill to have some cake for her birthday. Bill tells her she can start her diet tomorrow and she'll get some hot soup from the restaurant across the street. Sue agrees and Bill will call the restaurant to tell her they'll be there in a few hours.
747,#Person2# likes a T-shirt in #Person1#'s clothes shop. #Person1# recommends one section for #Person2#.,#Person1#: I'm looking for some summer clothes. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for a T-shirt. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I',#Person2# is looking for some summer clothes. #Person1# offers #Person2# a discount of 20% off and offers #Person2# skirts and trousers that go with the T-shirt. #Person2# will take the one.
748,#Person2# goes to shop for clothes and is told there is a sale. #Person2# buys clothes under #Person1#'s recommendation.,#Person1#: I'm looking for some summer clothes. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for a T-shirt. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I',#Person2# is looking for some summer clothes. #Person1# offers #Person2# a discount of 20% off and offers #Person2# skirts and trousers that go with the T-shirt. #Person2# will take the one.
749,#Person2# buys summer clothes with 20% off at #Person1#'s shop.,#Person1#: I'm looking for some summer clothes. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for a T-shirt. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I'm looking for skirts and trousers. #Person2#: I'm looking for skirts and trousers. #Person1#: I',#Person2# is looking for some summer clothes. #Person1# offers #Person2# a discount of 20% off and offers #Person2# skirts and trousers that go with the T-shirt. #Person2# will take the one.
750,"As not reconfirming recently, #Person1# cannot take the reserved air ticket.",#Person1#: I'm sorry to hear that.,#Person1#'s ticket is cancelled because #Person1# didn't reconfirm the reservation recently. #Person2# apologizes and asks #Person1# to come to reconfirm the ticket.
751,#Person1# was too busy to reconfirm a fight reservation and needs to buy another ticket.,#Person1#: I'm sorry to hear that.,#Person1#'s ticket is cancelled because #Person1# didn't reconfirm the reservation recently. #Person2# apologizes and asks #Person1# to come to reconfirm the ticket.
752,#Person1# goes to pick up the ticket but is told by #Person2# that the ticket was cancelled due to the late reconfirmation.,#Person1#: I'm sorry to hear that.,#Person1#'s ticket is cancelled because #Person1# didn't reconfirm the reservation recently. #Person2# apologizes and asks #Person1# to come to reconfirm the ticket.
753,#Person2# tells #Person1# everyone from #Person2#'s family gathers here to spend the Easter together.,The family is having a reunion at the house.,Yi-jun tells #Person1# that everyone in his family is here for Easter reunions. Yi-jun tells #Person1# the kids are hiding in the house while the grownups hide.
754,#Person2# introduces to #Person1# the family's tradition to celebrate Easter.,The family is having a reunion at the house.,Yi-jun tells #Person1# that everyone in his family is here for Easter reunions. Yi-jun tells #Person1# the kids are hiding in the house while the grownups hide.
755,#Person2# tells #Person1# about the family activities on Easter day.,The family is having a reunion at the house.,Yi-jun tells #Person1# that everyone in his family is here for Easter reunions. Yi-jun tells #Person1# the kids are hiding in the house while the grownups hide.
756,#Person1# and #Person2# are talking about their son's bad habits and #Person2# gives suggestions on how to guide and help the kid.,Talk to your son.,"#Person1# tells #Person2# that their son has some bad habits. #Person1# tells #Person2# that Tony has some bad habits and #Person1#'s parents sometimes threaten to punish him. #Person2# suggests #Person1# treat Tony with patience, affection, and respect. #Person1#'s parents sometimes threaten to punish Tony."
757,#Person1# and #Person2# exchanges thoughts on how to deal with their son's bad behavior. #Person2# suggests treating the kid with patience instead of punishment.,Talk to your son.,"#Person1# tells #Person2# that their son has some bad habits. #Person1# tells #Person2# that Tony has some bad habits and #Person1#'s parents sometimes threaten to punish him. #Person2# suggests #Person1# treat Tony with patience, affection, and respect. #Person1#'s parents sometimes threaten to punish Tony."
758,"#Person1# asks #Person2# to help to address their son's problems, and #Person2# has come up with several motivating and gentle ideas.",Talk to your son.,"#Person1# tells #Person2# that their son has some bad habits. #Person1# tells #Person2# that Tony has some bad habits and #Person1#'s parents sometimes threaten to punish him. #Person2# suggests #Person1# treat Tony with patience, affection, and respect. #Person1#'s parents sometimes threaten to punish Tony."
759,"#Person1# is going to the bachelor party of Alex, and #Person2# will organise a bachelorette party for Wendy.",The groomsmen are planning a bachelor party for Julie and Alex.,#Person1#'s friends Julie and Alex are getting married. #Person1# tells #Person2# that #Person1#'s friends Julie and Alex are getting married. #Person2#'s friend Wendy is getting married and #Person2#'s organizing her bachelorette party.
760,#Person1# is excited about attending two friends' bachelor party. #Person2# doesn't trust #Person1# and will organize a bachelorette party for a friend too.,The groomsmen are planning a bachelor party for Julie and Alex.,#Person1#'s friends Julie and Alex are getting married. #Person1# tells #Person2# that #Person1#'s friends Julie and Alex are getting married. #Person2#'s friend Wendy is getting married and #Person2#'s organizing her bachelorette party.
761,#Person1# shares the Alex's bachelor party plan with #Person2# and promises nothing will be too much. #Person2# doubts that and will also organize a bachelorette party.,The groomsmen are planning a bachelor party for Julie and Alex.,#Person1#'s friends Julie and Alex are getting married. #Person1# tells #Person2# that #Person1#'s friends Julie and Alex are getting married. #Person2#'s friend Wendy is getting married and #Person2#'s organizing her bachelorette party.
762,#Person1# helps #Person2# get a ballot card and guides #Person2# the next step.,#Person1#: I'm here to help you. #Person2#: Thanks.,#Person2# needs help with getting the ballot. #Person1# helps #Person2# with the help of #Person2#'s ID and #Person2#'s ballot card.
763,#Person1# helps #Person2# to get a ballot and go vote.,#Person1#: I'm here to help you. #Person2#: Thanks.,#Person2# needs help with getting the ballot. #Person1# helps #Person2# with the help of #Person2#'s ID and #Person2#'s ballot card.
764,#Person2# successfully gets the ballot card and votes with the help of #Person1#.,#Person1#: I'm here to help you. #Person2#: Thanks.,#Person2# needs help with getting the ballot. #Person1# helps #Person2# with the help of #Person2#'s ID and #Person2#'s ballot card.
765,#Person1# and #Person2# are conjecturing who will get sacked based on other employees' performance and find that it might be themselves. #Person1# is so anxious as #Person1# needs to raise family but #Person2# will be happy to leave.,The boss is going to cut back on the company.,"#Person1# and #Person2# are worried about the cutbacks of their company. #Person1#'s worried about George, Andy, Lisa, and Michael. #Person2# thinks Michael is a hard-ass and #Person2#'s family t."
766,#Person1# and #Person2# talk about the company's upcoming downsizing and discuss who will get sacked. #Person1# is worried but #Person2# doesn't care.,The boss is going to cut back on the company.,"#Person1# and #Person2# are worried about the cutbacks of their company. #Person1#'s worried about George, Andy, Lisa, and Michael. #Person2# thinks Michael is a hard-ass and #Person2#'s family t."
767,#Person1# and #Person2# have rounds of conjectures of whom shall be fired due to the company's cutback and comes to the conclusion that they both have the biggest possibility. It drives #Person1# crazy but doesn't worry #Person2#.,The boss is going to cut back on the company.,"#Person1# and #Person2# are worried about the cutbacks of their company. #Person1#'s worried about George, Andy, Lisa, and Michael. #Person2# thinks Michael is a hard-ass and #Person2#'s family t."
768,#Person1# and #Person2# start from one Chinese TV series and talk about short-lived marriage nowadays and views of marriage of only-child generation in China.,"#Person1#: Hi, how are you? #Person2#: Good. Have you seen any new films recently? #Person1#: I haven't. I've been watching a Chinese TV series called Chinese-Style Divorce. #Person1#: oh, really? I saw it two years ago. It's worth seeing and it's thought-provoking. #Person2#: yeah. It reflects some of our difficulties in this ever-changing world. #Person1#: it reflects some of our difficulties in this ever-changing world. #Person2#: yeah. It's said that a lot of young people favor getting married quickly which tend end quickly too. #Person1#: oh, that's too short-lived. #Person2#: definitely. The only-child generation in China tends to know little",#Person1# and #Person2# are talking about a Chinese TV series called Chinese-Style Divorce. #Person2# tells #Person1# that young people favor getting married quickly and end quickly. #Person1# thinks the short-lived marriage is typical of the post-80s generation.
769,#Person1# and #Person2# have a conversation about recent trends of Chinese marriage. They agree that the younger generation are taking marriage less seriously and will make hasty decisions.,"#Person1#: Hi, how are you? #Person2#: Good. Have you seen any new films recently? #Person1#: I haven't. I've been watching a Chinese TV series called Chinese-Style Divorce. #Person1#: oh, really? I saw it two years ago. It's worth seeing and it's thought-provoking. #Person2#: yeah. It reflects some of our difficulties in this ever-changing world. #Person1#: it reflects some of our difficulties in this ever-changing world. #Person2#: yeah. It's said that a lot of young people favor getting married quickly which tend end quickly too. #Person1#: oh, that's too short-lived. #Person2#: definitely. The only-child generation in China tends to know little",#Person1# and #Person2# are talking about a Chinese TV series called Chinese-Style Divorce. #Person2# tells #Person1# that young people favor getting married quickly and end quickly. #Person1# thinks the short-lived marriage is typical of the post-80s generation.
770,#Person1# and #Person2# have a discussion about the divorce rate in China and reasons hidden behind.,"#Person1#: Hi, how are you? #Person2#: Good. Have you seen any new films recently? #Person1#: I haven't. I've been watching a Chinese TV series called Chinese-Style Divorce. #Person1#: oh, really? I saw it two years ago. It's worth seeing and it's thought-provoking. #Person2#: yeah. It reflects some of our difficulties in this ever-changing world. #Person1#: it reflects some of our difficulties in this ever-changing world. #Person2#: yeah. It's said that a lot of young people favor getting married quickly which tend end quickly too. #Person1#: oh, that's too short-lived. #Person2#: definitely. The only-child generation in China tends to know little",#Person1# and #Person2# are talking about a Chinese TV series called Chinese-Style Divorce. #Person2# tells #Person1# that young people favor getting married quickly and end quickly. #Person1# thinks the short-lived marriage is typical of the post-80s generation.
771,"#Person1# and Judy are sorting out their cost to France. Since #Person1# thinks it's too much, they decide to choose the Youth hotel to save some money.",Judy and her family are going to spend 13 000 RMB on transportation.,"Judy tells #Person1# she will show #Person1# the list of their financial budget. Judy tells #Person1# the transportation fee, the hotel, and the accommodation will deteriorate once they choose a cheaper hotel."
772,Judy explains to #Person1# about the budget for a trip and tries to lower the cost by choosing a economic hotel.,Judy and her family are going to spend 13 000 RMB on transportation.,"Judy tells #Person1# she will show #Person1# the list of their financial budget. Judy tells #Person1# the transportation fee, the hotel, and the accommodation will deteriorate once they choose a cheaper hotel."
773,#Person1# and Judy have a discussion on their financial budget and find out ways to save money.,Judy and her family are going to spend 13 000 RMB on transportation.,"Judy tells #Person1# she will show #Person1# the list of their financial budget. Judy tells #Person1# the transportation fee, the hotel, and the accommodation will deteriorate once they choose a cheaper hotel."
774,Mary got married. #Person2# is surprised when told by #Person1#.,Mary got married yesterday.,#Person1# tells #Person2# Mary got married yesterday. #Person2# is surprised.
775,#Person2# is surprised to hear from #Person1# that Mary got married.,Mary got married yesterday.,#Person1# tells #Person2# Mary got married yesterday. #Person2# is surprised.
776,#Person1# shares Mary's marriage news with #Person2#. #Person2# is surprised.,Mary got married yesterday.,#Person1# tells #Person2# Mary got married yesterday. #Person2# is surprised.
777,#Person2# lost the wallet and borrows some money from #Person1#.,Person1 lost his wallet.,#Person2# lost his wallet and borrows 50 dollars. #Person1# will pay him back on Friday. #Person2# will buy some books and go to the gas station.
778,#Person2#'s wallet was lost and has to borrow some money from #Person1#.,Person1 lost his wallet.,#Person2# lost his wallet and borrows 50 dollars. #Person1# will pay him back on Friday. #Person2# will buy some books and go to the gas station.
779,#Person1# lends money to #Person2# as #Person2# lost the wallet.,Person1 lost his wallet.,#Person2# lost his wallet and borrows 50 dollars. #Person1# will pay him back on Friday. #Person2# will buy some books and go to the gas station.
780,#Person1# and #Person2# are talking about the news that two competing companies are going to merge into one.,#Person1#: Murphy Music and U-Tunes are merging.,#Person1# and #Person2# are discussing the merger of two major suppliers. #Person1# thinks the competition must have been too stiff for U-Tunes. #Person2# thinks U-Tunes must have figured it would be easier to merge than to keep up the cutthroat competition.
781,#Person2# learns from #Person1# that two major suppliers of their company decided to end competition and merge into one.,#Person1#: Murphy Music and U-Tunes are merging.,#Person1# and #Person2# are discussing the merger of two major suppliers. #Person1# thinks the competition must have been too stiff for U-Tunes. #Person2# thinks U-Tunes must have figured it would be easier to merge than to keep up the cutthroat competition.
782,"#Person1# and #Person2# have a discussion on the merging of their major suppliers, Murphy Music and U-Tunes and its effect.",#Person1#: Murphy Music and U-Tunes are merging.,#Person1# and #Person2# are discussing the merger of two major suppliers. #Person1# thinks the competition must have been too stiff for U-Tunes. #Person2# thinks U-Tunes must have figured it would be easier to merge than to keep up the cutthroat competition.
783,Joe and Tom hold different impressions on Tom's new assistant.,"#Person1: Hi Joe. You met my new assistant, Emm.",Tom met his new assistant Emm but he wasn't impressed. Joe thinks she's helpful to Tom. Tom thinks she's like that with everyone.
784,Joe doesn't think highly of Tom's new assistant while Tom does.,"#Person1: Hi Joe. You met my new assistant, Emm.",Tom met his new assistant Emm but he wasn't impressed. Joe thinks she's helpful to Tom. Tom thinks she's like that with everyone.
785,Joe disagrees with Tom on Tom's new assistant and thinks her stuck up.,"#Person1: Hi Joe. You met my new assistant, Emm.",Tom met his new assistant Emm but he wasn't impressed. Joe thinks she's helpful to Tom. Tom thinks she's like that with everyone.
786,Sarah is upset and complains to #Person1# about an inefficient meeting and Bob's interruption. #Person1# gives Sarah some suggestions on how to keep her speech short and sweet.,The meeting was not efficient.,Sarah tells #Person1# that she came out of a meeting and it didn't go well. Bob was the chair and he kept interrupting everyone with his own suggestions. Sarah tells #Person1# that Bob might come off a little strong sometimes and he expected everyone to agree with him. Sarah suggests she bring up the main points during the meeting and speak to those directly involved after the meeting.
787,"Sarah is upset because Bob kept interrupting everyone else during a meeting, making it impossible to elaborate her ideas. #Person1# gives Sarah a useful tip to get her point across at the next meeting.",The meeting was not efficient.,Sarah tells #Person1# that she came out of a meeting and it didn't go well. Bob was the chair and he kept interrupting everyone with his own suggestions. Sarah tells #Person1# that Bob might come off a little strong sometimes and he expected everyone to agree with him. Sarah suggests she bring up the main points during the meeting and speak to those directly involved after the meeting.
788,"Sarah is upset for being interrupted by Bob in an meeting and is not able to put forward the points, to which #Person1# offers some useful tips.",The meeting was not efficient.,Sarah tells #Person1# that she came out of a meeting and it didn't go well. Bob was the chair and he kept interrupting everyone with his own suggestions. Sarah tells #Person1# that Bob might come off a little strong sometimes and he expected everyone to agree with him. Sarah suggests she bring up the main points during the meeting and speak to those directly involved after the meeting.
789,#Person2# introduces one program about Islam to #Person1#. They are talking about the pilgrimages of Muslims and people in other faiths.,The program is about islam.,#Person2# tells #Person1# that Muslims go on a pilgrimage to Mecca to pray and face towards Mecca. #Person2# thinks there is something magical about Lourdes. #Person2# thinks people believe they will be healed and that faith causes a change in their mind that cures them.
790,"#Person1# and #Person2# talk about pilgrims around the world, including Muslims' pilgrimage to mecca and Christians' pilgrimage to Canterbury or Vatican. #Person2# thinks faith heals people instead of magical places.",The program is about islam.,#Person2# tells #Person1# that Muslims go on a pilgrimage to Mecca to pray and face towards Mecca. #Person2# thinks there is something magical about Lourdes. #Person2# thinks people believe they will be healed and that faith causes a change in their mind that cures them.
791,#Person2# watches a program about Muslim pilgrims and talks about how pilgrims are like in other religion with #Person1#,The program is about islam.,#Person2# tells #Person1# that Muslims go on a pilgrimage to Mecca to pray and face towards Mecca. #Person2# thinks there is something magical about Lourdes. #Person2# thinks people believe they will be healed and that faith causes a change in their mind that cures them.
792,Ted likes Jenny but is afraid to ask her out. Mike encourages Ted to tell Jenny his feelings.,"#Person1#: Hey, Mike. I'm coming with you.",Ted asks Mike if Jenny has a crush on him. Mike tells him he has to tell Jenny what he's feeling about her. Ted thinks it's better to tell Jenny.
793,Ted likesJenny but is too afraid to express his feeling. Mike encourages him and Ted will tell her.,"#Person1#: Hey, Mike. I'm coming with you.",Ted asks Mike if Jenny has a crush on him. Mike tells him he has to tell Jenny what he's feeling about her. Ted thinks it's better to tell Jenny.
794,Ted likes Jenny but is afraid of telling her because he doesn't want to be turned down. Mike encourages Ted to tell Jenny.,"#Person1#: Hey, Mike. I'm coming with you.",Ted asks Mike if Jenny has a crush on him. Mike tells him he has to tell Jenny what he's feeling about her. Ted thinks it's better to tell Jenny.
795,#Person1# and #Person2# are talking about ways to relieve anger.,Listen to music. Exercise.,#Person2# tells #Person1# that #Person2# usually calms down first and thinks about the reason that caused #Person2#'s anger. #Person2# also recommends listening to classical music and working out.
796,"#Person2# introduces ways to relieve anger to #Person1#, including listening to music and working out.",Listen to music. Exercise.,#Person2# tells #Person1# that #Person2# usually calms down first and thinks about the reason that caused #Person2#'s anger. #Person2# also recommends listening to classical music and working out.
797,#Person1# and #Person2# have a discussion about what they usually do to relieve anger.,Listen to music. Exercise.,#Person2# tells #Person1# that #Person2# usually calms down first and thinks about the reason that caused #Person2#'s anger. #Person2# also recommends listening to classical music and working out.
798,#Person2# is introducing to #Person1# their family members in New Zealand and their relationships.,The family in New Zealand is very nice.,#Person1# and #Person2# talk about family in New Zealand. #Person2# tells #Person1# about the family in New Zealand and tells #Person1# about the family in New Zealand.
799,#Person2# introduces to #Person1# their family members in New Zealand who would visit them next year.,The family in New Zealand is very nice.,#Person1# and #Person2# talk about family in New Zealand. #Person2# tells #Person1# about the family in New Zealand and tells #Person1# about the family in New Zealand.
800,"#Person2# tells #Person1# about the relationships between their family and the uncle Bill's, who will visit them next year.",The family in New Zealand is very nice.,#Person1# and #Person2# talk about family in New Zealand. #Person2# tells #Person1# about the family in New Zealand and tells #Person1# about the family in New Zealand.
801,#Person1# congratulates Mr. Stuart on winning a marathon.,The marathon is over.,Mr. Stuart won the city marathon. He is very happy and he is very happy. He watched the race with his children and he screamed with excitement.
802,#Person1# congratulates Mr. Stuart on winning the city marathon.,The marathon is over.,Mr. Stuart won the city marathon. He is very happy and he is very happy. He watched the race with his children and he screamed with excitement.
803,#Person1# congratulates Mr. Stuart on winning the city marathon.,The marathon is over.,Mr. Stuart won the city marathon. He is very happy and he is very happy. He watched the race with his children and he screamed with excitement.
804,#Person2# is from America and is picking up presents for families in a duty-free shop. #Person1# recommends some for #Person2#.,#Person1#: OK. I'm looking for some gifts for your children and wife.,#Person2# is picking out some presents for his children and wife. #Person1# recommends some cool sneakers for his children and #Person2# buys 5 pairs of perfume for his wife. #Person2# thinks it's expensive in America and #Person1# recommends a bottle of perfume for his wife.
805,#Person2# is surprised at a low price of products in the duty-free shop. #Person1# offers #Person2# suggestions on what gifts to bring home.,#Person1#: OK. I'm looking for some gifts for your children and wife.,#Person2# is picking out some presents for his children and wife. #Person1# recommends some cool sneakers for his children and #Person2# buys 5 pairs of perfume for his wife. #Person2# thinks it's expensive in America and #Person1# recommends a bottle of perfume for his wife.
806,#Person2# buys gifts for his children and wife in a duty-free shop where #Person1# is working at. #Person1# recommends presents for #Person2#.,#Person1#: OK. I'm looking for some gifts for your children and wife.,#Person2# is picking out some presents for his children and wife. #Person1# recommends some cool sneakers for his children and #Person2# buys 5 pairs of perfume for his wife. #Person2# thinks it's expensive in America and #Person1# recommends a bottle of perfume for his wife.
807,Hong suggests #Person1# use a local SIM card to save money to call.,"#Person1#: Hong, I need to call back to the UK.",Hong tells #Person1# to use a local SIM card to call back to the UK. Hong recommends #Person1# to use a local SIM card.
808,Hong tells #Person1# to buy a local SIM card to make a cheap phone call to the UK.,"#Person1#: Hong, I need to call back to the UK.",Hong tells #Person1# to use a local SIM card to call back to the UK. Hong recommends #Person1# to use a local SIM card.
809,#Person1# can't afford to call back to UK and Hong offers a cheap way to address the problem.,"#Person1#: Hong, I need to call back to the UK.",Hong tells #Person1# to use a local SIM card to call back to the UK. Hong recommends #Person1# to use a local SIM card.
810,Mr. Brown is interviewing #Person2# and they are talking over #Person2#'s salary.,The company will pay you two thousand and five hundred yuan a month at the start.,Mr. Brown tells #Person1# he's paid on a salary and he hopes to get a month here. Mr. Brown will pay him two thousand and five hundred yuan a month at the start.
811,Mr. Brown gives #Person2# a well-paying job offer.,The company will pay you two thousand and five hundred yuan a month at the start.,Mr. Brown tells #Person1# he's paid on a salary and he hopes to get a month here. Mr. Brown will pay him two thousand and five hundred yuan a month at the start.
812,Mr. Brown decides to hire #Person2# with a higher salary and other benefits.,The company will pay you two thousand and five hundred yuan a month at the start.,Mr. Brown tells #Person1# he's paid on a salary and he hopes to get a month here. Mr. Brown will pay him two thousand and five hundred yuan a month at the start.
813,"#Person1# and #Person2# have the same impression on Barry and Paul, but hold different views on #Person2#'s personality.",#Person1#: I like Barry. #Person2#: I like Paul. #Person1#: I'm shy. #Person2#: I'm not shy. #Person1#: I love going out and making new friends.,"#Person1# and #Person2# talk about Barry and #Person2#'s brother Paul. #Person2# thinks #Person2# is polite, careful, relaxed and shy. #Person1# thinks #Person2# is shy because #Person2# is always chatting with new people. #Person1# will be at #Person2#'s birthday party on Friday."
814,"#Person1# and #Person2# change ideas on Barry and Paul, and then talk about their own personalities.",#Person1#: I like Barry. #Person2#: I like Paul. #Person1#: I'm shy. #Person2#: I'm not shy. #Person1#: I love going out and making new friends.,"#Person1# and #Person2# talk about Barry and #Person2#'s brother Paul. #Person2# thinks #Person2# is polite, careful, relaxed and shy. #Person1# thinks #Person2# is shy because #Person2# is always chatting with new people. #Person1# will be at #Person2#'s birthday party on Friday."
815,#Person1# and #Person2# come to an agreement towards the impression of Barry and Paul but a disagreement on whether #Person2# is shy.,#Person1#: I like Barry. #Person2#: I like Paul. #Person1#: I'm shy. #Person2#: I'm not shy. #Person1#: I love going out and making new friends.,"#Person1# and #Person2# talk about Barry and #Person2#'s brother Paul. #Person2# thinks #Person2# is polite, careful, relaxed and shy. #Person1# thinks #Person2# is shy because #Person2# is always chatting with new people. #Person1# will be at #Person2#'s birthday party on Friday."
816,"#Person1# is buying a house and consulting #Person2# about the location, size and surroundings.",#Person1#: I am interested in buying a house.,#Person1# wants to buy a house in Pasadena or Arcadia. #Person2# will begin a search for the perfect home for #Person1#.
817,#Person2# will get back to #Person1# after knowing #Person1#'s specific needs for a house.,#Person1#: I am interested in buying a house.,#Person1# wants to buy a house in Pasadena or Arcadia. #Person2# will begin a search for the perfect home for #Person1#.
818,#Person1# intends to buy a house and needs some information from #Person2#. #Person2# will call #Person2# after #Person2# finds one.,#Person1#: I am interested in buying a house.,#Person1# wants to buy a house in Pasadena or Arcadia. #Person2# will begin a search for the perfect home for #Person1#.
819,#Person2# leaves the samples to Mr. Grant and will talk to him next week.,The samples are in the office.,Mr. Grant asks #Person2# to leave the samples with him and he will talk to Mr. Grant next week.
820,#Person2# leaves Mr. Grant with samples and will call Mr. Grant later to know the decision.,The samples are in the office.,Mr. Grant asks #Person2# to leave the samples with him and he will talk to Mr. Grant next week.
821,#Person2# leaves the samples at Mr. Grant's so he can make a decision with more consideration.,The samples are in the office.,Mr. Grant asks #Person2# to leave the samples with him and he will talk to Mr. Grant next week.
822,#Person2# tells #Person1# the bus route to get to Sons.,"Take the 268 going west. Take the 261, and it'll take you to Sons.",#Person1# asks #Person2# about the bus to Sons from PHS. #Person2# tells #Person1# the bus will go to Sons from PHS.
823,#Person2# offers bus information for #Person1# to go to Sons from PHS.,"Take the 268 going west. Take the 261, and it'll take you to Sons.",#Person1# asks #Person2# about the bus to Sons from PHS. #Person2# tells #Person1# the bus will go to Sons from PHS.
824,#Person1# asks #Person2# the way to Sons from PHS.,"Take the 268 going west. Take the 261, and it'll take you to Sons.",#Person1# asks #Person2# about the bus to Sons from PHS. #Person2# tells #Person1# the bus will go to Sons from PHS.
825,Mr. Lee gives Mrs. Word a lift home.,The door is open now.,Mr Lee gives Mrs. Word a lift home. Mrs. Word asks him to hold her umbrella when she gets her keys out.
826,Mr. Lee gives Mrs. Word a lift home on a rainy night.,The door is open now.,Mr Lee gives Mrs. Word a lift home. Mrs. Word asks him to hold her umbrella when she gets her keys out.
827,Mr. Lee offers to give Mrs. Word a lift home on a terrible night.,The door is open now.,Mr Lee gives Mrs. Word a lift home. Mrs. Word asks him to hold her umbrella when she gets her keys out.
828,#Person1# checks the right arm of #Person2# and suggests a shoulder X-ray tomorrow.,#Person1#: Okay.,#Person1# asks #Person2# to lie down on the bed and hold up #Person2#'s right arm. #Person2# doesn't feel any pain anywhere else and #Person1# thinks they should have the shoulder X-rayed.
829,#Person1# gives #Person2# a physical check and advises #Person2# to stay in hospital for a shoulder X-ray the next day.,#Person1#: Okay.,#Person1# asks #Person2# to lie down on the bed and hold up #Person2#'s right arm. #Person2# doesn't feel any pain anywhere else and #Person1# thinks they should have the shoulder X-rayed.
830,#Person1# examines #Person2#'s arm by testing which part is hurt and suggests a shoulder X-ray tomorrow.,#Person1#: Okay.,#Person1# asks #Person2# to lie down on the bed and hold up #Person2#'s right arm. #Person2# doesn't feel any pain anywhere else and #Person1# thinks they should have the shoulder X-rayed.
831,#Person2# lost the credit card in travelling and is asking the Client Services for help.,"#Person1#: I'm Shelley speaking, how can I help you?",Shelley lost her credit card and asks IBA for help. Shelley tells #Person1# she lost it around an hour ago and she'll take some details from FRCM.
832,#Person2# lost an international credit card while travelling in the city and therefore calls #Person1# for help.,"#Person1#: I'm Shelley speaking, how can I help you?",Shelley lost her credit card and asks IBA for help. Shelley tells #Person1# she lost it around an hour ago and she'll take some details from FRCM.
